STT,Code,Name,Note,SL BÁN 3 THÁNG,SL BÁN 6 THÁNG,TỒN KHO,BQ BÁN/NGÀY,NGÀY TỒN,Order Forecast
205.0,6970758099653,C12 - LƯỢC CHẢI PHỒNG VÀ TẠO KIỂU VACOSI (VACOSI FOR ALL HAIR TYPES STYLING HAIRBRUSH),Bỏ mẫu,79.0,79.0,1284.0,0.4388888888888889,2925.5696202531644,
206.0,6977364830014,"C14-H - LƯỢC CHẢI TÓC BỎ TÚI KÈM CHUN, HỒNG  (Vacosi Pocket Comb Set, Pink)",,131.0,131.0,2773.0,0.7277777777777777,3810.229007633588,
207.0,6977364830144,"C14-V - LƯỢC CHẢI TÓC BỎ TÚI KÈM CHUN, VÀNG (Vacosi Pocket Comb Set, Yellow)",Bỏ mẫu,34.0,34.0,1394.0,0.18888888888888888,7380.0,
208.0,6977364830021,C15 - LƯỢC CỔ ĐIỂN 2 ĐẦU (Vacosi Dual-Use Hair Comb),,54.0,54.0,5401.0,0.3,18003.333333333336,
209.0,6977364830151,"C16-L - LƯỢC GỠ RỐI & TẠO KIỂU CƠ BẢN, LILAC (Vacosi Original Detangling Brush, Lilac)",Bỏ mẫu,145.0,145.0,2636.0,0.8055555555555556,3272.2758620689656,
210.0,6977364830038,"C16-O - LƯỢC LƯỢC GỠ RỐI & TẠO KIỂU CƠ BẢN, LÚA MẠCH (Vacosi Original Detangling Brush, Oat)",,944.0,944.0,1140.0,5.2444444444444445,217.3728813559322,
211.0,6977364830045,"C17-M - LƯỢC GỠ RỐI, GIỮ NẾP TÓC VÀ MASSAGE DA ĐẦU, XANH MINT (Vacosi Flexi Detangling Brush, Mint)",,230.0,230.0,5056.0,1.2777777777777777,3956.8695652173915,
212.0,6977364830052,"C17-O - LƯỢC GỠ RỐI, GIỮ NẾP TÓC VÀ MASSAGE DA ĐẦU, LÚA MẠCH (Vacosi Flexi Detangling Brush, Oat)",,362.0,362.0,5320.0,2.011111111111111,2645.303867403315,
213.0,6977364830069,"C18 - LƯỢC CHẢI TÓC GỠ RỐI, HỒNG (Vacosi Magenta Vent Detangling Hair Brush)",Bỏ mẫu,72.0,72.0,2197.0,0.4,5492.5,
214.0,6977364830076,"C19 - LƯỢC CHẢI TÓC GỠ RỐI, TÍM (Vacosi Lilac Vent Detangling Hair Brush)",Bỏ mẫu,47.0,47.0,1782.0,0.2611111111111111,6824.680851063829,
215.0,6977364830083,"C20-H - LƯỢC LƯỚI MASSAGE & GỠ RỐI TÓC ƯỚT, HỒNG  (Vacosi Hollow Out Paddle Detangler, Pink)",,142.0,142.0,4253.0,0.7888888888888889,5391.12676056338,
